gamesId,anGameId,gameDate,matchup,seq,completed,schedStatus,fg_proj,fg_ml_book,fg_total_book,fg_rl_book,fg_actual,fg_graded_games,f5_proj,f5_total_proj,f5_book,f5_actual,f5_graded_games,nrfi_proj,nrfi_book,nrfi_actual,nrfi_graded_games,teamhr_proj,k_props,k_proj,k_line,k_actual,k_graded,hr_props,hr_proj,hr_actual,hr_graded,bt_rows,bt_settled,bt_no_action,bt_quarantined,bt_with_clv,bt_with_closing,outcomeIngested
2250145,286267,2026-04-06,HOU@COL,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,0,0,0,0,14,0,0,14,0,0,0
2250136,286258,2026-04-06,KC@CLE,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,18,18,0,18,15,0,0,14,0,0,0
2250141,286263,2026-04-06,LAD@TOR,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,18,18,0,18,15,0,0,14,0,0,0
2250140,286261,2026-04-06,MIL@BOS,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,21,21,0,21,15,0,0,14,0,0,0
2250147,286269,2026-04-06,PHI@SF,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,0,0,0,0,14,0,0,14,0,0,0
2250137,286259,2026-04-06,SD@PIT,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,19,19,0,19,15,0,0,14,0,0,0
2250144,286266,2026-04-06,SEA@TEX,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,0,0,0,0,14,0,0,14,0,0,0
2250139,286262,2026-04-06,STL@WSH,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,18,18,0,18,15,0,0,14,0,0,0
2252434,286336,2026-04-07,ARI@NYM,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,24,0,24,0,15,0,0,14,0,0,0
2250154,286334,2026-04-07,ATH@NYY,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,22,0,22,0,15,0,0,14,0,0,0
2250160,286341,2026-04-07,ATL@LAA,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,24,0,24,0,15,0,0,14,0,0,0
2250157,286338,2026-04-07,BAL@CWS,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,24,0,24,0,15,0,0,14,0,0,0
2250150,286329,2026-04-07,CHC@TB,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,19,0,19,0,15,0,0,14,0,0,0
2250151,286330,2026-04-07,CIN@MIA,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,24,0,24,0,15,0,0,14,0,0,0
2250156,286337,2026-04-07,DET@MIN,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,21,0,21,0,15,0,0,14,0,0,0
2250159,286340,2026-04-07,HOU@COL,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,21,0,21,0,15,0,0,14,0,0,0
2250148,286328,2026-04-07,KC@CLE,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,23,0,23,0,15,0,0,14,0,0,0
2250155,286335,2026-04-07,LAD@TOR,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,20,0,20,0,15,0,0,14,0,0,0
