gameId,gameDate,month,pAwayMl,pOver,pAwayRl,projAwayScore,projHomeScore,projTotal,additivity_abs_diff,core_violations,supp_violations
2250209,2026-04-12,2026-04,0.41490,0.55850,0.33770,4.580,5.260,9.840,0.000000,,
2250210,2026-04-12,2026-04,0.51150,0.54470,0.66040,4.590,4.120,8.710,0.000000,,
2250211,2026-04-12,2026-04,0.56920,0.36390,0.45570,4.300,3.270,7.580,0.010000,,
2250212,2026-04-12,2026-04,0.43920,0.56410,0.59990,3.980,4.320,8.300,0.000000,,
2250213,2026-04-12,2026-04,0.51790,0.43850,0.69430,3.430,3.010,6.440,0.000000,,
2250214,2026-04-12,2026-04,0.51130,0.38520,0.39270,3.700,3.290,6.990,0.000000,,
2250215,2026-04-12,2026-04,0.37100,0.34420,0.53260,3.610,4.730,8.340,0.000000,,
2250216,2026-04-12,2026-04,0.40450,0.53210,0.55880,4.130,4.900,9.020,0.010000,,
2250217,2026-04-12,2026-04,0.41860,0.33520,0.32010,3.590,4.130,7.730,0.010000,,
2250218,2026-04-12,2026-04,0.49130,0.17850,0.64200,4.150,4.000,8.140,0.010000,,
2250219,2026-04-12,2026-04,0.51860,0.44690,0.67900,4.060,3.560,7.630,0.010000,,
2250220,2026-04-12,2026-04,0.35540,0.52910,0.51690,3.620,4.920,8.530,0.010000,,
2250221,2026-04-12,2026-04,0.47730,0.45290,0.63190,4.320,4.240,8.560,0.000000,,
2250222,2026-04-12,2026-04,0.32930,0.58120,0.49130,3.470,5.070,8.530,0.010000,,
2250223,2026-04-13,2026-04,0.32190,0.42840,0.49300,3.130,4.720,7.850,0.000000,,
2250224,2026-04-13,2026-04,0.41050,0.58380,0.56260,4.230,4.940,9.180,0.010000,,
2250225,2026-04-13,2026-04,0.44520,0.51060,0.59470,4.480,4.770,9.250,0.000000,,
2250226,2026-04-13,2026-04,0.34860,0.46710,0.49380,4.140,5.700,9.840,0.000000,,
2250227,2026-04-13,2026-04,0.32940,0.51500,0.48790,3.600,5.240,8.840,0.000000,,
2250228,2026-04-13,2026-04,0.48660,0.52100,0.38940,4.310,4.120,8.430,0.000000,,
2250229,2026-04-13,2026-04,0.52040,0.44090,0.41480,4.260,3.720,7.990,0.010000,,
2250230,2026-04-13,2026-04,0.35940,0.72170,0.30330,5.370,7.060,12.430,0.000000,,
2250231,2026-04-13,2026-04,0.35180,0.54360,0.50020,4.090,5.570,9.650,0.010000,,
2250232,2026-04-14,2026-04,0.39370,0.53640,0.31160,4.090,4.990,9.080,0.000000,,
2250233,2026-04-14,2026-04,0.37060,0.32670,0.53450,3.520,4.630,8.150,0.000000,,
2250234,2026-04-14,2026-04,0.57250,0.48500,0.48170,5.380,4.120,9.500,0.000000,,
2250235,2026-04-14,2026-04,0.39710,0.39250,0.54570,4.210,5.130,9.340,0.000000,,
2250236,2026-04-14,2026-04,0.43680,0.40080,0.58750,4.310,4.720,9.030,0.000000,,
2250237,2026-04-14,2026-04,0.34600,0.44150,0.50840,3.520,4.920,8.440,0.000000,,
2250238,2026-04-14,2026-04,0.57090,0.57520,0.48130,5.410,4.180,9.590,0.000000,,
2250239,2026-04-14,2026-04,0.43850,0.45060,0.34220,3.880,4.210,8.090,0.000000,,
2250240,2026-04-14,2026-04,0.50850,0.41830,0.38670,3.570,3.200,6.770,0.000000,,
2250241,2026-04-14,2026-04,0.38100,0.28810,0.28030,3.160,4.040,7.200,0.000000,,
2250242,2026-04-14,2026-04,0.36100,0.61810,0.50050,4.620,6.090,10.700,0.010000,,
2250243,2026-04-14,2026-04,0.50410,0.40300,0.37970,3.470,3.160,6.630,0.000000,,
2250244,2026-04-14,2026-04,0.41280,0.40640,0.32360,3.950,4.590,8.550,0.010000,,
2250245,2026-04-14,2026-04,0.44720,0.43390,0.61730,3.630,3.860,7.490,0.000000,,
2250246,2026-04-15,2026-04,0.51740,0.45690,0.42610,4.850,4.290,9.150,0.010000,,
2250247,2026-04-15,2026-04,0.44260,0.54820,0.35710,4.460,4.780,9.240,0.000000,,
2250248,2026-04-15,2026-04,0.51950,0.39960,0.67560,4.240,3.720,7.960,0.000000,,
2250249,2026-04-15,2026-04,0.44000,0.52610,0.57600,5.100,5.520,10.620,0.000000,,
2250250,2026-04-15,2026-04,0.39030,0.44380,0.30850,4.030,4.960,8.990,0.000000,,
2250251,2026-04-15,2026-04,0.52100,0.39680,0.67260,4.500,3.940,8.440,0.000000,,
2250252,2026-04-15,2026-04,0.44430,0.33270,0.59270,4.330,4.670,9.000,0.000000,,
2250253,2026-04-15,2026-04,0.28590,0.45010,0.44090,3.430,5.650,9.080,0.000000,,
2250254,2026-04-15,2026-04,0.44340,0.36970,0.34050,3.680,3.960,7.650,0.010000,,
2250255,2026-04-15,2026-04,0.43130,0.52550,0.33940,4.030,4.450,8.480,0.000000,,
2250256,2026-04-15,2026-04,0.48730,0.51510,0.63390,4.750,4.540,9.300,0.010000,,
2250257,2026-04-15,2026-04,0.48840,0.30110,0.36430,3.340,3.180,6.520,0.000000,,
2250258,2026-04-15,2026-04,0.34980,0.46230,0.27990,4.310,5.920,10.230,0.000000,,
2250259,2026-04-15,2026-04,0.36340,0.42310,0.54010,3.150,4.230,7.380,0.000000,,
2250260,2026-04-16,2026-04,0.42410,0.38680,0.59040,3.670,4.150,7.820,0.000000,,
2250261,2026-04-16,2026-04,0.48080,0.47660,0.63720,4.250,4.130,8.380,0.000000,,
2250262,2026-04-16,2026-04,0.40800,0.26450,0.29450,2.970,3.540,6.520,0.010000,,
2250263,2026-04-16,2026-04,0.32720,0.30790,0.48900,3.340,4.960,8.300,0.000000,,
2250264,2026-04-16,2026-04,0.57170,0.56450,0.48570,5.620,4.320,9.940,0.000000,,
2250265,2026-04-16,2026-04,0.51090,0.36210,0.40010,3.980,3.570,7.550,0.000000,,
2250266,2026-04-16,2026-04,0.53260,0.72300,0.46650,6.690,5.750,12.440,0.000000,,
2250267,2026-04-16,2026-04,0.33010,0.42150,0.50150,3.150,4.630,7.780,0.000000,,
2250268,2026-04-16,2026-04,0.46460,0.49480,0.61520,4.500,4.550,9.050,0.000000,,
2250269,2026-04-16,2026-04,0.36370,0.45640,0.28140,3.700,4.910,8.600,0.010000,,
2250270,2026-04-17,2026-04,0.32640,0.36650,0.47900,3.630,5.380,9.020,0.010000,,
2250271,2026-04-17,2026-04,0.38980,0.62970,0.53110,4.640,5.690,10.330,0.000000,,
2250272,2026-04-17,2026-04,0.63160,0.49940,0.55020,6.220,4.060,10.280,0.000000,,
2250273,2026-04-17,2026-04,0.49140,0.62000,0.41460,5.500,5.210,10.710,0.000000,,
2250274,2026-04-17,2026-04,0.49900,0.48490,0.40610,4.640,4.290,8.930,0.000000,,
2250275,2026-04-17,2026-04,0.45990,0.35510,0.63440,3.490,3.590,7.070,0.010000,,
2250276,2026-04-17,2026-04,0.45620,0.48710,0.36230,4.170,4.320,8.500,0.010000,,
