game_id,date,teams,prop_id,market,sub_market,player,hand,projected_value,projected_probability,pick,line_at_projection,closing_line,actual_outcome,actual_ks,correct,signed_error,abs_error,brier,logloss,completed,notes,stored_result,stored_correct,stored_error,verdict
2251395,2026-07-19,BAL@HOU,1920038,K_PROP,away,Shane Baz,,3.28,0.1455,UNDER,5.5,,OVER,7,0,-3.72,3.72,0.730170,1.927579,1,,OVER,0,4.820,PASS
2251395,2026-07-19,BAL@HOU,1920040,K_PROP,home,Ronel Blanco,,4.24,0.6674,OVER,3.5,,OVER,4,1,0.24,0.24,0.110623,0.404366,1,,UNDER,1,-2.060,PASS
2251396,2026-07-19,SD@KC,1920041,K_PROP,home,Michael Wacha,,2.89,0.2032,UNDER,4.5,,UNDER,1,1,1.89,1.89,0.041290,0.227152,1,,UNDER,1,-2.400,UNDER
2251397,2026-07-19,MIA@MIL,1920042,K_PROP,away,Janson Junk,,2.77,0.3478,UNDER,3.5,,OVER,9,0,-6.23,6.23,0.425365,1.056128,1,,OVER,0,5.810,UNDER
2251397,2026-07-19,MIA@MIL,1920043,K_PROP,home,Jacob Misiorowski,,6.19,0.2261,UNDER,8.5,,UNDER,5,1,1.19,1.19,0.051121,0.256313,1,,OVER,0,1.760,UNDER
2251396,2026-07-19,SD@KC,1920044,K_PROP,away,JP Sears,,3.05,0.4137,UNDER,3.5,,UNDER,2,1,1.05,1.05,0.171148,0.533924,1,,UNDER,1,0.430,UNDER
2251398,2026-07-19,MIN@CHC,1920045,K_PROP,home,Jameson Taillon,,2.83,0.1910,UNDER,4.5,,UNDER,4,1,-1.17,1.17,0.036481,0.211956,1,,UNDER,1,-0.710,UNDER
2251398,2026-07-19,MIN@CHC,1920046,K_PROP,away,Joe Ryan,,4.52,0.2175,UNDER,6.5,,UNDER,4,1,0.52,0.52,0.047306,0.245261,1,,UNDER,1,1.450,UNDER
2251399,2026-07-19,CIN@COL,1920047,K_PROP,away,Andrew Abbott,,3.06,0.2347,UNDER,4.5,,OVER,7,0,-3.94,3.94,0.585684,1.449447,1,,OVER,1,-0.170,UNDER
2251399,2026-07-19,CIN@COL,1920048,K_PROP,home,Kyle Freeland,,3.84,0.3952,UNDER,4.5,,UNDER,3,1,0.84,0.84,0.156183,0.502857,1,,UNDER,1,0.540,UNDER
2251400,2026-07-19,WSH@ATH,1920049,K_PROP,home,Jeffrey Springs,,3.47,0.5119,UNDER,3.5,,OVER,6,0,-2.53,2.53,0.238242,0.669626,1,,OVER,0,3.980,PASS
2251400,2026-07-19,WSH@ATH,1920050,K_PROP,away,Andrew Alvarez,,5.47,0.6986,OVER,4.5,,UNDER,2,0,3.47,3.47,0.488042,1.199317,1,,UNDER,1,-2.880,PASS
2251401,2026-07-19,DET@LAA,1920051,K_PROP,away,Jack Flaherty,,3.62,0.1984,UNDER,5.5,,UNDER,5,1,-1.38,1.38,0.039363,0.221146,1,,UNDER,1,0.940,UNDER
2251401,2026-07-19,DET@LAA,1920052,K_PROP,home,Jose Soriano,,5.16,0.6495,OVER,4.5,,OVER,5,1,0.16,0.16,0.122850,0.431552,1,,OVER,0,2.020,OVER
2253770,2026-07-19,STL@ARI,1920053,K_PROP,home,Mitch Bratt,,3.04,0.4129,UNDER,3.5,,UNDER,3,1,0.04,0.04,0.170486,0.532560,1,,UNDER,1,1.110,UNDER
2251402,2026-07-19,SF@SEA,1920054,K_PROP,home,George Kirby,,4.27,0.1807,UNDER,6.5,,OVER,10,0,-5.73,5.73,0.671252,1.710917,1,,OVER,0,5.830,UNDER
