game_id,date,teams,game_no,market,sub_market,projected_value,projected_probability,pick,line_at_projection,closing_line,actual_outcome,correct,signed_error,abs_error,brier,logloss,fav,day_night,completed,notes,stored_correct
2250711,2026-05-22,CLE@PHI,1,F5,TOTAL,4.00,0.5300,OVER,3.5,,UNDER,0,4.00,4.00,0.280900,0.755023,home_fav,night,1,,
2250712,2026-05-22,TB@NYY,1,F5,ML,,0.4650,HOME,+120,,HOME,1,,,0.216225,0.625489,home_fav,night,1,,
2250712,2026-05-22,TB@NYY,1,F5,RL,,0.5502,AWAY,0.5,,HOME,0,,,0.302720,0.798952,home_fav,night,1,,
2250712,2026-05-22,TB@NYY,1,F5,TOTAL,4.50,0.4800,UNDER,4.5,,UNDER,1,3.50,3.50,0.230400,0.653926,home_fav,night,1,,
2250713,2026-05-22,PIT@TOR,1,F5,ML,,0.3970,HOME,+140,,HOME,1,,,0.157609,0.505838,home_fav,night,1,,
2250713,2026-05-22,PIT@TOR,1,F5,RL,,0.4710,HOME,0.5,,HOME,1,,,0.221841,0.636767,home_fav,night,1,,
2250713,2026-05-22,PIT@TOR,1,F5,TOTAL,4.50,0.4600,UNDER,4.5,,UNDER,1,0.50,0.50,0.211600,0.616186,home_fav,night,1,,
2250714,2026-05-22,MIN@BOS,1,F5,ML,,0.3758,HOME,+114,,HOME,1,,,0.141226,0.471284,home_fav,night,1,,
2250714,2026-05-22,MIN@BOS,1,F5,RL,,0.4648,HOME,0.5,,HOME,1,,,0.216039,0.625115,home_fav,night,1,,
2250714,2026-05-22,MIN@BOS,1,F5,TOTAL,4.00,0.3300,UNDER,3.5,,OVER,0,-5.00,5.00,0.448900,1.108663,home_fav,night,1,,
2250715,2026-05-22,NYM@MIA,1,F5,ML,,0.4420,HOME,-106,,HOME,1,,,0.195364,0.583396,away_fav,night,1,,
2250715,2026-05-22,NYM@MIA,1,F5,RL,,0.5295,AWAY,0.5,,HOME,0,,,0.280370,0.753959,away_fav,night,1,,
2250715,2026-05-22,NYM@MIA,1,F5,TOTAL,4.50,0.4000,UNDER,4.5,,UNDER,1,1.50,1.50,0.160000,0.510826,away_fav,night,1,,
2250716,2026-05-22,DET@BAL,1,F5,ML,,0.4232,HOME,+104,,HOME,1,,,0.179098,0.550260,home_fav,night,1,,
2250716,2026-05-22,DET@BAL,1,F5,RL,,0.4957,HOME,0.5,,HOME,1,,,0.245718,0.684584,home_fav,night,1,,
2250716,2026-05-22,DET@BAL,1,F5,TOTAL,4.50,0.5500,OVER,4.5,,OVER,1,-5.50,5.50,0.202500,0.597837,home_fav,night,1,,
2250717,2026-05-22,WSH@ATL,1,F5,ML,,0.2932,HOME,+146,,PUSH,,,,,,home_fav,night,1,push(tie),
2250717,2026-05-22,WSH@ATL,1,F5,RL,,0.3477,HOME,0.5,,AWAY,0,,,0.425495,1.056415,home_fav,night,1,,
2250717,2026-05-22,WSH@ATL,1,F5,TOTAL,5.00,0.3800,UNDER,4.5,,UNDER,1,5.00,5.00,0.144400,0.478036,home_fav,night,1,,
2250718,2026-05-22,SEA@KC,1,F5,ML,,0.4396,HOME,-120,,PUSH,,,,,,away_fav,night,1,push(tie),
