series,dimension,bucket,n,base_rate,mean_p,calib_gap,calib_gap_z,brier,brier_const_slice,brier_skill,logloss,n_picks,hits,hit_rate
p2,team_i1_bucket,"Q3[0.282,0.311)",311,0.44695,0.51202,0.06507,2.31,0.247337,0.247185,-0.000152,0.687577,310,157,0.50645
live_clean,team_i1_bucket,"Q3[0.282,0.311)",262,0.4542,0.47698,0.02279,0.74,0.24796,0.247902,-5.8e-05,0.688929,239,123,0.51464
live,team_i1_bucket,"Q4[0.311,0.338)",307,0.49511,0.47443,-0.02068,-0.72,0.248577,0.249976,0.001399,0.690264,283,152,0.5371
p1,team_i1_bucket,"Q4[0.311,0.338)",311,0.49518,0.51278,0.0176,0.62,0.249998,0.249977,-2.1e-05,0.693167,311,167,0.53698
p2,team_i1_bucket,"Q4[0.311,0.338)",311,0.49518,0.51443,0.01925,0.68,0.249151,0.249977,0.000826,0.690851,311,168,0.54019
live_clean,team_i1_bucket,"Q4[0.311,0.338)",271,0.51661,0.47391,-0.04269,-1.41,0.25146,0.249724,-0.001736,0.696091,250,129,0.516
live,team_i1_bucket,Q5>=0.338,308,0.5,0.47539,-0.02461,-0.86,0.24896,0.25,0.00104,0.69101,287,146,0.50871
p1,team_i1_bucket,Q5>=0.338,311,0.49518,0.51604,0.02086,0.74,0.248898,0.249977,0.001079,0.691083,311,169,0.54341
p2,team_i1_bucket,Q5>=0.338,311,0.49518,0.51604,0.02086,0.74,0.248898,0.249977,0.001079,0.691083,311,169,0.54341
live_clean,team_i1_bucket,Q5>=0.338,224,0.51339,0.47513,-0.03826,-1.15,0.249342,0.249821,0.000478,0.691759,212,107,0.50472
live,park,ARI,52,0.46154,0.43865,-0.02288,-0.33,0.256502,0.248521,-0.007981,0.706411,49,25,0.5102
p1,park,ARI,53,0.45283,0.47645,0.02362,0.35,0.25307,0.247775,-0.005295,0.699369,53,26,0.49057
p2,park,ARI,53,0.45283,0.47645,0.02362,0.35,0.25307,0.247775,-0.005295,0.699369,53,26,0.49057
live_clean,park,ARI,43,0.48837,0.44047,-0.04791,-0.63,0.257358,0.249865,-0.007493,0.708,40,19,0.475
live,park,ATH,50,0.4,0.4354,0.0354,0.51,0.24989,0.24,-0.00989,0.69289,48,28,0.58333
p1,park,ATH,50,0.4,0.41929,0.01929,0.28,0.243247,0.24,-0.003247,0.679298,50,29,0.58
p2,park,ATH,50,0.4,0.41929,0.01929,0.28,0.243247,0.24,-0.003247,0.679298,50,29,0.58
live_clean,park,ATH,43,0.39535,0.4314,0.03605,0.48,0.2491,0.239048,-0.010052,0.691292,41,24,0.58537
live,park,ATL,52,0.51923,0.47904,-0.04019,-0.58,0.258487,0.24963,-0.008856,0.710216,48,19,0.39583
p1,park,ATL,52,0.51923,0.52589,0.00666,0.1,0.247625,0.24963,0.002005,0.688349,52,26,0.5
p2,park,ATL,52,0.51923,0.52589,0.00666,0.1,0.247625,0.24963,0.002005,0.688349,52,26,0.5
live_clean,park,ATL,36,0.55556,0.47833,-0.07722,-0.93,0.257311,0.246914,-0.010398,0.707822,33,14,0.42424
live,park,BAL,53,0.62264,0.47491,-0.14774,-2.22,0.248964,0.234959,-0.014005,0.691056,47,25,0.53191
p1,park,BAL,54,0.62963,0.48246,-0.14717,-2.24,0.25119,0.233196,-0.017993,0.695554,54,28,0.51852
p2,park,BAL,54,0.62963,0.48246,-0.14717,-2.24,0.25119,0.233196,-0.017993,0.695554,54,28,0.51852
live_clean,park,BAL,35,0.57143,0.47286,-0.09857,-1.18,0.242849,0.244898,0.002049,0.678743,32,18,0.5625
live,park,BOS,51,0.45098,0.50196,0.05098,0.73,0.262467,0.247597,-0.01487,0.7183,44,17,0.38636
p1,park,BOS,52,0.46154,0.54516,0.08362,1.21,0.256745,0.248521,-0.008224,0.706817,51,24,0.47059
p2,park,BOS,52,0.46154,0.54516,0.08362,1.21,0.256745,0.248521,-0.008224,0.706817,51,24,0.47059
live_clean,park,BOS,40,0.4,0.506,0.106,1.37,0.26442,0.24,-0.02442,0.722226,34,12,0.35294
live,park,CHC,51,0.47059,0.46863,-0.00196,-0.03,0.243886,0.249135,0.005249,0.680768,50,28,0.56
p1,park,CHC,52,0.48077,0.51027,0.0295,0.43,0.244468,0.24963,0.005163,0.682116,52,33,0.63462
p2,park,CHC,52,0.48077,0.51027,0.0295,0.43,0.244468,0.24963,0.005163,0.682116,52,33,0.63462
live_clean,park,CHC,38,0.44737,0.46316,0.01579,0.2,0.241958,0.24723,0.005272,0.676846,38,21,0.55263
live,park,CIN,50,0.56,0.4916,-0.0684,-0.97,0.248312,0.2464,-0.001912,0.689511,48,24,0.5
p1,park,CIN,50,0.56,0.50875,-0.05125,-0.73,0.254601,0.2464,-0.008201,0.702435,50,23,0.46
p2,park,CIN,50,0.56,0.50875,-0.05125,-0.73,0.254601,0.2464,-0.008201,0.702435,50,23,0.46
live_clean,park,CIN,35,0.51429,0.48286,-0.03143,-0.37,0.253743,0.249796,-0.003947,0.7005,34,16,0.47059
live,park,CLE,53,0.56604,0.50132,-0.06472,-0.95,0.248726,0.245639,-0.003087,0.690602,46,24,0.52174
p1,park,CLE,53,0.56604,0.5554,-0.01063,-0.16,0.24745,0.245639,-0.00181,0.688067,53,28,0.5283
p2,park,CLE,53,0.56604,0.5554,-0.01063,-0.16,0.24745,0.245639,-0.00181,0.688067,53,28,0.5283
live_clean,park,CLE,42,0.57143,0.50143,-0.07,-0.92,0.24879,0.244898,-0.003893,0.690721,37,19,0.51351
live,park,COL,49,0.2449,0.4,0.1551,2.52,0.206294,0.184923,-0.021371,0.604127,49,37,0.7551
