starterId,pitcherName,nLive,meanLiveErr,ci95LiveErr,nP1,meanP1Err,nP2,meanP2Err,meanActualKs,meanKProj,meanOuts
702273,Davis Martin|Noah Schultz,10,-0.698,0.9961,12,0.373,12,-0.111,4.083,3.102,14.17
668678,Jose Cabrera|Ryne Nelson|Zac Gallen,13,-0.6962,1.0175,19,-0.293,19,-0.58,3.211,2.688,15.47
695076,Andrew Abbott|Chase Burns|Hunter Greene|Rhett Lowder,13,-0.6954,1.917,15,0.064,15,-0.281,4.133,3.92,14.0
641816,Landen Roupp|Logan Webb|Trevor McDonald|Tyler Mahle,16,-0.6913,0.6879,16,-0.552,16,-0.944,4.812,4.121,15.56
664285,Casey Mize|Framber Valdez|Jack Flaherty|Keider Montero,20,-0.685,1.1367,20,0.632,20,0.19,4.4,3.715,16.25
665152,Dean Kremer|Kyle Bradish|Trevor Rogers,5,-0.68,3.094,6,-0.769,6,-1.189,5.667,3.72,16.0
571510,Colin Rea|Edward Cabrera|Matthew Boyd|Shota Imanaga,11,-0.67,1.4867,11,1.532,11,0.942,5.0,4.33,16.09
680694,Kyle Bradish|Shane Baz,19,-0.6658,1.6392,20,0.722,20,0.183,5.5,4.913,17.0
686799,Jack Kochanowicz|Jose Soriano,11,-0.6518,1.6558,13,-0.159,13,-0.468,3.615,2.894,14.77
681347,Cristian Javier|Mike Burrows|Spencer Arrighetti,16,-0.6394,0.7685,17,-0.208,17,-0.566,4.353,3.486,16.53
679883,Luinder Avila|Noah Cameron|Seth Lugo,10,-0.637,1.3553,10,-0.369,10,-0.761,4.1,3.463,13.4
650644,Aaron Civale|Gage Jump|Luis Severino,13,-0.5708,1.0322,15,-0.006,15,-0.3,3.6,3.198,14.47
805673,Joe Ryan|Kendry Rojas|Zebby Matthews,13,-0.5654,1.036,13,0.654,13,-0.096,4.538,3.973,17.54
592662,Adrian Houser|Landen Roupp|Robbie Ray|Trevor McDonald|Tyler Mahle,18,-0.5367,1.0015,19,0.064,19,-0.349,4.632,4.13,16.47
543243,Connelly Early|Payton Tolle|Ranger Suarez|Sonny Gray,17,-0.5276,1.8254,18,-0.223,18,-0.699,5.0,4.649,16.94
685299,Kyle Freeland,5,-0.526,2.0774,5,0.411,5,-0.132,3.4,2.874,13.8
