ledgerId,refId,modelVersion,gameId,gameDate,issues
41864,22338,wf-19288f01-p1,2250525,2026-05-06,null_core_field
41883,34408,wf-19288f01-p1,2252828,2026-05-06,null_core_field
41884,34409,wf-19288f01-p1,2252828,2026-05-06,null_core_field
41903,22475,wf-19288f01-p1,2250526,2026-05-07,null_core_field
41904,22477,wf-19288f01-p1,2250526,2026-05-07,null_core_field
41923,22614,wf-19288f01-p1,2250527,2026-05-07,null_core_field
41924,22616,wf-19288f01-p1,2250527,2026-05-07,null_core_field
41943,22754,wf-19288f01-p1,2250528,2026-05-07,null_core_field
41944,22756,wf-19288f01-p1,2250528,2026-05-07,null_core_field
41963,22903,wf-19288f01-p1,2250529,2026-05-07,null_core_field
41964,22905,wf-19288f01-p1,2250529,2026-05-07,null_core_field
41983,23044,wf-19288f01-p1,2250530,2026-05-07,null_core_field
41984,23046,wf-19288f01-p1,2250530,2026-05-07,null_core_field
42003,23187,wf-19288f01-p1,2250531,2026-05-07,null_core_field
42004,23189,wf-19288f01-p1,2250531,2026-05-07,null_core_field
42023,23328,wf-19288f01-p1,2250532,2026-05-07,null_core_field
42024,23329,wf-19288f01-p1,2250532,2026-05-07,null_core_field
42043,23468,wf-19288f01-p1,2250533,2026-05-07,null_core_field
42044,23469,wf-19288f01-p1,2250533,2026-05-07,null_core_field
42063,34448,wf-19288f01-p1,2252833,2026-05-07,null_core_field
42064,34449,wf-19288f01-p1,2252833,2026-05-07,null_core_field
42183,24308,wf-19288f01-p1,2250539,2026-05-08,null_core_field
42184,24309,wf-19288f01-p1,2250539,2026-05-08,null_core_field
42203,24448,wf-19288f01-p1,2250540,2026-05-08,null_core_field
42443,26128,wf-19288f01-p1,2250552,2026-05-09,null_core_field
42684,27669,wf-19288f01-p1,2250563,2026-05-10,null_core_field
42744,28089,wf-19288f01-p1,2250566,2026-05-10,null_core_field
42783,28368,wf-19288f01-p1,2250568,2026-05-10,null_core_field
42943,31808,wf-19288f01-p1,2252879,2026-05-10,null_core_field
42963,29471,wf-19288f01-p1,2250576,2026-05-11,null_core_field
43064,31849,wf-19288f01-p1,2252886,2026-05-11,null_core_field
43083,30168,wf-19288f01-p1,2250581,2026-05-12,null_core_field
43104,30301,wf-19288f01-p1,2250582,2026-05-12,null_core_field
43164,30752,wf-19288f01-p1,2250585,2026-05-12,null_core_field
43183,30891,wf-19288f01-p1,2250586,2026-05-12,null_core_field
43283,31589,wf-19288f01-p1,2250591,2026-05-12,null_core_field
43304,31678,wf-19288f01-p1,2250592,2026-05-12,null_core_field
43463,4388,wf-19288f01-p1,2250599,2026-05-13,null_core_field
43504,4717,wf-19288f01-p1,2250601,2026-05-13,null_core_field
43524,4889,wf-19288f01-p1,2250602,2026-05-13,null_core_field
43684,6009,wf-19288f01-p1,2250609,2026-05-14,null_core_field
43703,6168,wf-19288f01-p1,2250610,2026-05-14,null_core_field
43743,6488,wf-19288f01-p1,2250612,2026-05-14,null_core_field
43864,7393,wf-19288f01-p1,2250618,2026-05-14,null_core_field
43944,8066,wf-19288f01-p1,2250622,2026-05-15,null_core_field
43984,8369,wf-19288f01-p1,2250624,2026-05-15,null_core_field
44083,9169,wf-19288f01-p1,2250629,2026-05-15,null_core_field
44123,9488,wf-19288f01-p1,2250631,2026-05-15,null_core_field
44203,9968,wf-19288f01-p1,2250634,2026-05-16,null_core_field
44364,11249,wf-19288f01-p1,2250642,2026-05-16,null_core_field
44424,11711,wf-19288f01-p1,2250645,2026-05-16,null_core_field
44524,12249,wf-19288f01-p1,2250649,2026-05-17,null_core_field
44704,13509,wf-19288f01-p1,2250658,2026-05-17,signedError -3.075 != projValue-actual -3.075
45223,16908,wf-19288f01-p1,2250682,2026-05-19,null_core_field
45244,17049,wf-19288f01-p1,2250683,2026-05-19,null_core_field
45283,17328,wf-19288f01-p1,2250685,2026-05-19,null_core_field
45284,17329,wf-19288f01-p1,2250685,2026-05-19,null_core_field
45343,17748,wf-19288f01-p1,2250688,2026-05-19,null_core_field
45484,18589,wf-19288f01-p1,2250694,2026-05-20,null_core_field
45523,18868,wf-19288f01-p1,2250696,2026-05-20,null_core_field
45564,19149,wf-19288f01-p1,2250698,2026-05-20,null_core_field
45583,19288,wf-19288f01-p1,2250699,2026-05-20,null_core_field
