gameId,gameDate,calib_month,T_f5,league_env_mult,f5_total_sd,stored_pF5AwayMl,recomputed_pF5AwayMl,absdiff_pF5AwayMl,MISMATCH_pF5AwayMl,stored_projF5Total,recomputed_projF5Total,absdiff_projF5Total,MISMATCH_projF5Total,stored_pF5Over,recomputed_pF5Over,absdiff_pF5Over,MISMATCH_pF5Over,stored_pF5AwayRl,recomputed_pF5AwayRl,absdiff_pF5AwayRl,MISMATCH_pF5AwayRl
2250132,2026-04-05,2026-04,1.0,1.0,2.9,0.4562,0.4562,0.0,0,4.601,4.601,0.0,0,0.5136,0.5136,0.0,0,0.6167,0.6167,0.0,0
2250133,2026-04-05,2026-04,1.0,1.0,2.9,0.445,0.445,0.0,0,4.551,4.551,0.0,0,0.3817,0.3817,0.0,0,0.6071,0.6071,0.0,0
2250134,2026-04-05,2026-04,1.0,1.0,2.9,0.4425,0.4425,0.0,0,4.325,4.325,0.0,0,0.4112,0.4112,0.0,0,0.61,0.61,0.0,0
2250135,2026-04-06,2026-04,1.0,1.0,2.9,0.4487,0.4487,0.0,0,4.628,4.628,0.0,0,0.45,0.45,0.0,0,0.6094,0.6094,0.0,0
2250136,2026-04-06,2026-04,1.0,1.0,2.9,0.4261,0.4261,0.0,0,4.127,4.127,0.0,0,0.4526,0.4526,0.0,0,0.5999,0.5999,0.0,0
2250137,2026-04-06,2026-04,1.0,1.0,2.9,0.3281,0.3281,0.0,0,5.021,5.021,0.0,0,0.4989,0.4989,0.0,0,0.4781,0.4781,0.0,0
2250138,2026-04-06,2026-04,1.0,1.0,2.9,0.4153,0.4153,0.0,0,4.272,4.272,0.0,0,0.4032,0.4032,0.0,0,0.5849,0.5849,0.0,0
2250139,2026-04-06,2026-04,1.0,1.0,2.9,0.4007,0.4007,0.0,0,5.335,5.335,0.0,0,0.5365,0.5365,0.0,0,0.5479,0.5479,0.0,0
2250140,2026-04-06,2026-04,1.0,1.0,2.9,0.4547,0.4547,0.0,0,4.11,4.11,0.0,0,0.3811,0.3811,0.0,0,0.6282,0.6282,0.0,0
2250141,2026-04-06,2026-04,1.0,1.0,2.9,0.483,0.483,0.0,0,4.932,4.932,0.0,0,0.4294,0.4294,0.0,0,0.6365,0.6365,0.0,0
2250142,2026-04-06,2026-04,1.0,1.0,2.9,0.3916,0.3916,0.0,0,4.635,4.635,0.0,0,0.5188,0.5188,0.0,0,0.5516,0.5516,0.0,0
2250143,2026-04-06,2026-04,1.0,1.0,2.9,0.41,0.41,0.0,0,4.637,4.637,0.0,0,0.4523,0.4523,0.0,0,0.5704,0.5704,0.0,0
