gameId,gameDate,matchup,mlbGamePk,actualF5Away,actualF5Home,actualF5Total,lsF5,f5AwayRunLine,f5Total,modelF5AwayWinPct,modelF5HomeWinPct,modelF5AwayRLCoverPct,modelF5AwayScore,modelF5HomeScore,modelF5OverRate,stored_f5MlResult,derived_f5MlResult,f5Ml_status,stored_f5MlCorrect,derived_f5MlCorrect,stored_f5RlResult,derived_f5Rl_probConv,derived_f5Rl_marginConv,f5Rl_status,f5Rl_convDisagree,stored_f5RlCorrect,derived_f5RlCorrect_probConv,derived_f5RlCorrect_marginConv,stored_f5TotalResult,derived_f5TotalResult,f5Total_status,stored_f5TotalCorrect,derived_f5TotalCorrect,stored_brierF5Ml,derived_brierF5Ml_away,derived_brierF5Ml_home,brierF5Ml_status,stored_brierF5Total,derived_brierF5Total,brierF5Total_status,f5BacktestRunAt
2250062,2026-03-30,NYY@SEA 2026-03-30,823159,0,1,1,0-1,-0.5,4.5,39.7,44,47.39,2.11,2.28,0.49,WIN,WIN,match,1,1,WIN,WIN,WIN,match-both-conv,0,1,1,1,UNDER,UNDER,match,1,1,0.157609,0.157609,0.3136,match-away-base,0.2401,0.2401,match,1784992359459
2250063,2026-03-30,CLE@LAD 2026-03-30,823972,1,0,1,1-0,0.5,4.5,37.66,46.48,44.84,2.13,2.47,0.39,LOSS,LOSS,match,0,0,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,UNDER,UNDER,match,1,1,0.388628,0.388628,0.216039,match-away-base,0.1521,0.1521,match,1784992359459
2252334,2026-03-30,DET@ARI 2026-03-30,825108,0,8,8,0-8,0.5,5.5,39.64,45.65,46.51,2.56,2.83,0.48,WIN,WIN,match,1,1,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,OVER,OVER,match,0,0,0.157133,0.157133,0.295392,match-away-base,0.2704,0.2704,match,1784992359459
2250064,2026-03-31,TEX@BAL 2026-03-31,824861,3,3,6,3-3,-0.5,4.5,52.62,32.61,61.69,3.02,2.17,0.52,PUSH,PUSH,match,,,LOSS,LOSS,LOSS,match-both-conv,0,0,0,0,OVER,OVER,match,1,1,,,,both-null,0.2304,0.2304,match,1784992359459
2250065,2026-03-31,PIT@CIN 2026-03-31,824537,6,1,7,6-1,-0.5,4.5,43.4,40.05,51.92,2.18,2.05,0.34,LOSS,LOSS,match,0,0,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,OVER,OVER,match,0,0,0.320356,0.320356,0.1604,match-away-base,0.4356,0.4356,match,1784992359459
2250066,2026-03-31,WSH@PHI 2026-03-31,823485,0,3,3,0-3,0.5,5.5,35.98,49.7,42.02,2.49,3.11,0.45,WIN,WIN,match,1,1,WIN,WIN,WIN,match-both-conv,0,1,1,1,UNDER,UNDER,match,1,1,0.129456,0.129456,0.253009,match-away-base,0.2025,0.2025,match,1784992359459
2250067,2026-03-31,CWS@MIA 2026-03-31,823888,2,4,6,2-4,0.5,4.5,35.58,48.86,42.19,2.09,2.62,0.46,WIN,WIN,match,1,1,WIN,WIN,WIN,match-both-conv,0,1,1,1,OVER,OVER,match,0,0,0.126594,0.126594,0.26153,match-away-base,0.2916,0.2916,match,1784992359459
2250068,2026-03-31,COL@TOR 2026-03-31,822836,0,2,2,0-2,,4.5,41.31,44.35,48.31,2.8,2.94,0.58,WIN,WIN,match,1,1,WIN,,,stored-not-derivable,0,1,,,UNDER,UNDER,match,0,0,0.170652,0.170652,0.309692,match-away-base,0.3364,0.3364,match,1784992359459
2250069,2026-03-31,ATH@ATL 2026-03-31,824942,5,2,7,5-2,0.5,5.5,38.29,45.77,45.45,2.13,2.43,0.38,LOSS,LOSS,match,0,0,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,OVER,OVER,match,0,0,0.380812,0.380812,0.209489,match-away-base,0.3844,0.3844,match,1784992359459
2250070,2026-03-31,LAA@CHC 2026-03-31,824699,0,0,0,0-0,,,36.73,47.06,43.86,2.01,2.4,0.49,PUSH,PUSH,match,,,,,,both-null,0,,,,,,both-null,,,,,,both-null,,,both-null,1784992359459
