gameId,gameDate,p1_projF5Total,p1_projTotal,ratio_p1,ratio_p2,ratio_p2_minus_p1,outside_engine_bounds
2250321,2026-04-20,3.245,6.26,0.51837,0.51837,0.0,0
2250322,2026-04-21,4.543,8.6,0.52826,0.52826,0.0,0
2250323,2026-04-21,4.325,8.13,0.53198,0.53198,0.0,0
2250324,2026-04-21,5.04,9.44,0.5339,0.5339,0.0,0
2250325,2026-04-21,3.897,7.31,0.53311,0.53311,0.0,0
2250326,2026-04-21,5.0,9.31,0.53706,0.53706,0.0,0
2250327,2026-04-21,4.286,7.98,0.53709,0.53709,0.0,0
2250328,2026-04-21,4.56,8.54,0.53396,0.53396,0.0,0
2250329,2026-04-21,4.71,8.85,0.5322,0.5322,0.0,0
2250330,2026-04-21,4.659,8.72,0.53429,0.53429,0.0,0
2250331,2026-04-21,4.281,8.07,0.53048,0.53048,0.0,0
2250332,2026-04-21,5.461,10.12,0.53962,0.53962,0.0,0
2250333,2026-04-21,4.494,8.44,0.53246,0.53246,0.0,0
2250334,2026-04-21,4.59,8.6,0.53372,0.53372,0.0,0
2250335,2026-04-21,3.753,7.07,0.53083,0.53083,0.0,0
2250336,2026-04-22,4.697,8.85,0.53073,0.53073,0.0,0
2250337,2026-04-22,4.53,8.49,0.53357,0.53357,0.0,0
2250338,2026-04-22,4.401,8.26,0.53281,0.53281,0.0,0
2250339,2026-04-22,4.838,9.12,0.53048,0.53048,0.0,0
2250340,2026-04-22,4.248,8.04,0.52836,0.52836,0.0,0
2250341,2026-04-22,3.879,7.35,0.52776,0.52776,0.0,0
2250342,2026-04-22,4.045,7.54,0.53647,0.53647,0.0,0
2250343,2026-04-22,7.396,13.62,0.54302,0.54302,0.0,0
2250344,2026-04-22,3.901,7.27,0.53659,0.53659,0.0,0
2250345,2026-04-22,4.529,8.46,0.53534,0.53534,0.0,0
2250346,2026-04-22,4.588,8.55,0.53661,0.53661,0.0,0
2250347,2026-04-22,4.023,7.6,0.52934,0.52934,0.0,0
2250348,2026-04-22,6.095,11.21,0.54371,0.54371,0.0,0
2250349,2026-04-22,4.729,8.61,0.54925,0.54925,0.0,0
2250350,2026-04-23,5.827,10.76,0.54154,0.54154,0.0,0
2250351,2026-04-23,4.467,8.35,0.53497,0.53497,0.0,0
2250352,2026-04-23,4.817,8.95,0.53821,0.53821,0.0,0
