gameId,gameDate,p1_pF5AwayMl,p1_pF5AwayRl,p2_pF5AwayRl,implied_tie_raw,implied_away_raw,actualF5Away,actualF5Home,f5_margin_home_minus_away,away_p05_cover,f5_tie,live_awayRl01,live_pred_prefix,live_pred_postfix,live_class,live_understatement_vs_postfix
2250152,2026-04-07,0.4601,0.6041,0.6041,0.14216,0.46194,2.0,4.0,2.0,0,0,0.5392,0.53841,0.60737,prefix,0.06817
2250153,2026-04-07,0.4071,0.5898,0.5898,0.19056,0.39924,0.0,0.0,0.0,1,1,0.4808,0.48149,0.56508,prefix,0.08428
2250154,2026-04-07,0.2784,0.4512,0.4512,0.17621,0.27499,3.0,1.0,-2.0,1,0,0.4292,0.42901,0.51494,prefix,0.08574
2250155,2026-04-07,0.3419,0.5285,0.5285,0.19375,0.33475,3.0,0.0,-3.0,1,0,0.5614,0.56116,0.63383,prefix,0.07243
2250156,2026-04-07,0.4569,0.6353,0.6353,0.18625,0.44905,0.0,4.0,4.0,0,0,0.5652,0.56545,0.63468,prefix,0.06948
2250157,2026-04-07,0.4623,0.6447,0.6447,0.19156,0.45314,1.0,2.0,1.0,0,0,0.5575,0.55831,0.64171,prefix,0.08421
2250158,2026-04-07,0.3882,0.582,0.582,0.20391,0.37809,2.0,3.0,1.0,0,0,0.4525,0.4528,0.56212,prefix,0.10962
2250159,2026-04-07,0.3685,0.4887,0.4887,0.11399,0.37471,1.0,3.0,2.0,0,0,0.5392,0.53838,0.59885,prefix,0.05965
2250160,2026-04-07,0.4808,0.6484,0.6484,0.17265,0.47575,4.0,2.0,-2.0,1,0,0.5349,0.53596,0.60677,prefix,0.07187
2250161,2026-04-07,0.4571,0.6396,0.6396,0.19156,0.44804,0.0,3.0,3.0,0,0,0.6032,0.60386,0.67763,prefix,0.07443
2250162,2026-04-08,0.3968,0.5641,0.5641,0.17118,0.39292,0.0,0.0,0.0,1,1,0.5192,0.52003,0.60474,prefix,0.08554
2250163,2026-04-08,0.379,0.5494,0.5494,0.17477,0.37463,2.0,5.0,3.0,0,0,0.4854,0.48519,0.58167,prefix,0.09627
